"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical";1;"LM2595T-5";;;
2;"L1";"L_0402_1005Metric";1;"L";;;
3;"D2";"D_0402_1005Metric";1;"D_Schottky";;;
4;"C7";"C_0201_0603Metric";1;"C";;;
5;"J1";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"BLDC";;;
6;"C1,C6";"CP_Radial_D8.0mm_P3.50mm";2;"C_Polarized";;;
7;"M1";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO";;;
8;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
9;"J3,J5";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08_Pin";;;
10;"J4";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
11;"R3,R2,R1";"R_0402_1005Metric";3;"R";;;
12;"D1";"LED_0402_1005Metric";1;"LED";;;
13;"C4,C3,C2,C5";"C_0402_1005Metric";4;"C";;;
14;"J2";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"Screw_Terminal_01x02";;;
15;"U1";"RGF0040E-IPC_A";1;"PMCF8316A1VRGFR";;;
