Reference,Qty,Datasheet,Value (Manufacturer Part No.),Footprint
C_BOOST1,1,~,GRM155R71C103KA01D,Capacitor_SMD:C_0402_1005Metric
CP_HL1,1,~,GCM155R71C473KA37D,Capacitor_SMD:C_0402_1005Metric
PI_BYP1,1,~,EMK105ABJ474KV-F,Capacitor_SMD:C_0402_1005Metric
AVDD_BYP1,1,~,GRM033R61C105ME15D,Capacitor_SMD:C_0402_1005Metric
BK_BYP1,1,~,GRM033R61C105ME15D,Capacitor_SMD:C_0201_0603Metric
BYP_SRV1,1,~,GRM033R61C105ME15D,Capacitor_SMD:C_0402_1005Metric
BYP_VM1,1,~,GRM033R61C105ME15D,Capacitor_SMD:C_0402_1005Metric
C_PUMP1,1,~,GRM033R61C105ME15D,Capacitor_SMD:C_0402_1005Metric
DVDD_BYP1,1,~,GRM033R61C105ME15D,Capacitor_SMD:C_0402_1005Metric
SRVOUT_BYP1,1,~,GRM033R61C105ME15D,Capacitor_SMD:C_0201_0603Metric
PI_BULK1,1,https://www.we-online.com/catalog/datasheet/860160572002.pdf,860160572002,860160572002:CAP_5X11_WRE
PI_BULK2,1,https://www.we-online.com/catalog/datasheet/860160572002.pdf,860160572002,860160572002:CAP_5X11_WRE
PI_BULK3,1,https://www.we-online.com/catalog/datasheet/860160572002.pdf,860160572002,860160572002:CAP_5X11_WRE
SRV_BK1,1,,SPM10065VT-680M-D,SPM10065VT-680M-D:IND_SPM10065VT-680M-D
BK_BULK1,1,https://www.we-online.com/catalog/datasheet/860040573004.pdf,860040573004,860040573004:CAP_WCAP-ATUL_06.3X11.0_WRE
PI_OUT3,1,https://www.we-online.com/catalog/datasheet/860040573004.pdf,860040573004,860040573004:CAP_WCAP-ATUL_06.3X11.0_WRE
SRV_BULK1,1,https://www.we-online.com/catalog/datasheet/860040573004.pdf,860040573004,860040573004:CAP_WCAP-ATUL_06.3X11.0_WRE
BULK_VM2,1,16ZLH470MEFCT78X11.5,16ZLH470MEFCT78X11.5,16ZLH470MEFCT78X11.5:CAP_YX_8X11P5_RUB
PI_OUT2,1,16ZLH470MEFCT78X11.5,16ZLH470MEFCT78X11.5,16ZLH470MEFCT78X11.5:CAP_YX_8X11P5_RUB
SRVOUT_BULK1,1,16ZLH470MEFCT78X11.5,16ZLH470MEFCT78X11.5,16ZLH470MEFCT78X11.5:CAP_YX_8X11P5_RUB
PD_SRV1,1,~,RC0402FR-075KL (Any 5.1k is acceptable),Resistor_SMD:R_0402_1005Metric
FG_PU1,1,~,RC0402FR-075KL (Any 5.1k is acceptable),Resistor_SMD:R_0402_1005Metric
R1,1,~,RC0402FR-075KL (Any 5.1k is acceptable),Resistor_SMD:R_0402_1005Metric
R_BK1,1,~,RC0402FR-075KL (Any 5.1k is acceptable),Resistor_SMD:R_0402_1005Metric
SERVO_CATCH1,1,1N5825,1N5825,1N5825:1N5825_MCH
BLDC_3P1,1,~,4391,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal
ARD_A1,1,~,61300811121,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical
ARD_C1,1,~,61300811121,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical
ARD_B1,1,~,PH1-10-UA,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical
D_FAULT1,1,~,"150040RS73240 (Any LED is fine, prefer red)",LED_SMD:LED_0402_1005Metric
U2,1,http://www.ti.com/lit/ds/symlink/lm2596.pdf,LM2596S-5.0,Package_TO_SOT_SMD:TO-263-4
U3,1,https://www.ti.com/lit/gpn/lm2678,LM2678S-5.0,LM2678S:TS7B
M1,1,http://forums.parallax.com/uploads/attachments/46831/74481.png,M20-9990345,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal
U1,1,https://www.ti.com/lit/gpn/mcf8316a,MCF8316A1VRGFR,MCF8316A:RGF0040E-IPC_A
PI_CATCH1,1,https://www.vishay.com/doc?94945,VS-6TQ045S-M3,VS-6TQ045S-M3:DPAK_045S-M3_VIS
J2,1,~,(Not Applicable),Connector_Wire:SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm
PI_OUT1,1,~,((Not Applicable),Connector_Wire:SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm
L1,1,SRP1038WA-220M,SRP1038WA-220M,SRP1038WA-220M:IND_SRP1038WA-220M_BRN
