Ref,Val,Package,PosX,PosY,Rot,Side
"ARD_A1","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",133.970000,-122.000000,90.000000,top
"ARD_B1","Conn_01x10_Pin","PinHeader_1x10_P2.54mm_Vertical",124.860000,-73.750000,90.000000,top
"ARD_C1","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",151.780000,-73.750000,90.000000,top
"AVDD_BYP1","1uf","C_0402_1005Metric",163.749996,-93.250000,180.000000,top
"BK_BULK1","100uf","CAP_WCAP-ATUL_06.3X11.0_WRE",150.025000,-92.075000,180.000000,top
"BK_BYP1","1uf","C_0201_0603Metric",152.800000,-91.750000,90.000000,top
"BLDC_3P1","Conn_01x03_Pin","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",167.950000,-106.500000,90.000000,top
"BULK_VM2","470uf","CAP_YX_8X11P5_RUB",149.466750,-100.450000,0.000000,top
"BYP_SRV1","1uf","C_0402_1005Metric",123.124996,-82.275000,0.000000,top
"BYP_VM1","1uf","C_0402_1005Metric",154.749996,-96.250000,90.000000,top
"CP_HL1","47nf","C_0402_1005Metric",154.249996,-93.000000,0.000000,top
"C_BOOST1","0.01uf","C_0402_1005Metric",116.417696,-110.290000,0.000000,top
"C_PUMP1","1uf","C_0402_1005Metric",154.249996,-94.250000,0.000000,top
"DVDD_BYP1","1uf","C_0402_1005Metric",154.249996,-90.750000,180.000000,top
"D_FAULT1","LED","LED_0402_1005Metric",157.249996,-88.250000,90.000000,top
"FG_PU1","5.1k","R_0402_1005Metric",163.749996,-91.250000,180.000000,top
"L1","SRP1038WA-220M","IND_SRP1038WA-220M_BRN",137.361050,-107.600000,180.000000,top
"M1","Motor_Servo","PinHeader_1x03_P2.54mm_Horizontal",111.385000,-81.540000,180.000000,top
"PD_SRV1","5k","R_0402_1005Metric",117.699996,-81.790000,-90.000000,top
"PI_BULK1","15uf","CAP_5X11_WRE",112.200000,-121.900000,0.000000,top
"PI_BULK2","15uf","CAP_5X11_WRE",115.535000,-116.750000,0.000000,top
"PI_BULK3","15uf","CAP_5X11_WRE",108.850000,-118.765000,90.000000,top
"PI_BYP1","0.47uf","C_0402_1005Metric",113.000000,-115.050000,90.000000,top
"PI_CATCH1","Schotty Diode","DPAK_045S-M3_VIS",126.805700,-116.900000,90.000000,top
"PI_OUT2","470uf","CAP_YX_8X11P5_RUB",124.949999,-106.800000,0.000000,top
"PI_OUT3","100uf","CAP_WCAP-ATUL_06.3X11.0_WRE",117.635000,-103.100000,0.000000,top
"R1","5.1k","R_0402_1005Metric",163.749996,-96.250000,180.000000,top
"R_BK1","5.1k","R_0402_1005Metric",154.250000,-92.075000,180.000000,top
"SERVO_CATCH1","1N5825","1N5825_MCH",127.188500,-81.500000,0.000000,top
"SRVOUT_BULK1","470uf","CAP_YX_8X11P5_RUB",115.916750,-76.300000,0.000000,top
"SRVOUT_BYP1","1uf","C_0201_0603Metric",115.329996,-82.375000,180.000000,top
"SRV_BK1","68uh","IND_SPM10065VT-680M-D",132.100000,-95.400000,180.000000,top
"SRV_BULK1","100uf","CAP_WCAP-ATUL_06.3X11.0_WRE",128.285000,-86.500000,0.000000,top
"U1","PMCF8316A1VRGFR","RGF0040E-IPC_A",158.999996,-93.500000,0.000000,top
"U2","LM2596S-5","TO-263-4",120.199996,-92.975000,-90.000000,top
"U3","LM2678S-5","TS7B",105.500000,-109.250000,90.000000,top
